"用户ID","地理位置","当日天气及气温","农作物类别","建议","时间"
"1001","海口","多云转晴 | 19-28℃ | 东北风2级 | 相对湿度75%","马铃薯","不建议播种或收割，土壤湿度适中，可进行中耕除草和病虫害巡查工作","2025-06"
"1001","哈尔滨","晴 | 12-22℃ | 西北风3级 | 相对湿度45%","大豆","适宜播种，土壤墒情良好，播种后及时覆土镇压；可进行苗期追肥","2025-05"
"1001","郑州","中雨转小雨 | 20-26℃ | 东风2级 | 相对湿度88%","小麦","严禁收割作业，已成熟小麦需做好防雨覆盖；及时疏通田间排水沟，防止积水烂穗","2025-06"
"1001","成都","阴转多云 | 16-24℃ | 南风1级 | 相对湿度82%","油菜","可进行收割晾晒作业，建议选择上午10点后至下午4点前收割，提高晾晒效率","2025-05"
"1001","广州","雷阵雨 | 25-32℃ | 西南风2级 | 相对湿度90%","荔枝","不建议采摘，雷雨天气易发生雷击和滑倒事故；雨后及时排水，预防霜霉病和炭疽病","2025-06"
"1001","乌鲁木齐","晴 | 15-28℃ | 东北风4级 | 相对湿度30%","棉花","适宜播种和移栽，注意防风固苗；空气干燥，需及时灌溉，保持土壤湿润","2025-04"
"1001","杭州","多云转雷阵雨 | 22-30℃ | 东南风3级 | 相对湿度78%","茶叶","不建议采摘，雷雨前停止作业；雨后及时修剪病枝，喷施保护性杀菌剂","2025-04"
"1002","石家庄","晴 | 18-30℃ | 北风2级 | 相对湿度50%","玉米","适宜播种和苗期管理，可进行间苗定苗；气温较高，注意灌溉保墒","2025-06"
"1002","昆明","晴转多云 | 14-24℃ | 西南风2级 | 相对湿度65%","花卉","适宜移栽和扦插，光照充足且温度适宜；可进行施肥和病虫害防治工作","2025-05"
"1003","武汉","大雨 | 23-29℃ | 南风3级 | 相对湿度92%","水稻","不建议田间作业，重点做好排涝防渍工作；雨后及时补施速效肥，促进秧苗生长","2025-06"
"1003","西安","晴 | 16-29℃ | 东北风2级 | 相对湿度48%","苹果","适宜疏果套袋，套袋前喷施一次杀虫杀菌剂；注意防治红蜘蛛和蚜虫","2025-05"
"1003","沈阳","多云 | 10-20℃ | 西北风3级 | 相对湿度55%","高粱","适宜播种，土壤温度适宜；播种后覆盖地膜，提高地温，促进出苗","2025-05"
"1003","南宁","晴 | 26-34℃ | 东南风2级 | 相对湿度70%","香蕉","适宜田间管理，可进行施肥和灌溉；高温时段注意遮阴，防止叶片灼伤","2025-07"
"1004","青岛","雾转晴 | 14-22℃ | 东南风4级 | 相对湿度85%","花生","适宜播种，雾天过后土壤墒情良好；注意防治地下害虫，播种时可拌种处理","2025-05"
"1004","重庆","阴 | 20-28℃ | 东北风1级 | 相对湿度80%","柑橘","适宜修剪和施肥，可进行疏花疏果；注意防治疮痂病和潜叶蛾","2025-04"
"1001","海口","多云转晴 | 19-28℃ | 东北风2级 | 相对湿度75%","马铃薯","不建议播种或收割，土壤湿度适中，可进行中耕除草和病虫害巡查工作","2025-06"
"1002","哈尔滨","晴 | 12-22℃ | 西北风3级 | 相对湿度45%","大豆","适宜播种，土壤墒情良好，播种后及时覆土镇压；可进行苗期追肥","2025-05"
"1003","郑州","中雨转小雨 | 20-26℃ | 东风2级 | 相对湿度88%","小麦","严禁收割作业，已成熟小麦需做好防雨覆盖；及时疏通田间排水沟，防止积水烂穗","2025-06"
"1004","成都","阴转多云 | 16-24℃ | 南风1级 | 相对湿度82%","油菜","可进行收割晾晒作业，建议选择上午10点后至下午4点前收割，提高晾晒效率","2025-05"
"1005","广州","雷阵雨 | 25-32℃ | 西南风2级 | 相对湿度90%","荔枝","不建议采摘，雷雨天气易发生雷击和滑倒事故；雨后及时排水，预防霜霉病和炭疽病","2025-06"
"1006","海口","晴 | 22-31℃ | 东南风3级 | 相对湿度68%","橡胶树","适宜割胶作业，清晨5-9点为最佳时段；注意防治白粉病和介壳虫","2025-04"
"1007","哈尔滨","多云转晴 | 8-18℃ | 西北风4级 | 相对湿度52%","玉米","适宜播种，地温稳定在10℃以上；播种深度3-5厘米，播后镇压保墒","2025-04"
"1008","郑州","晴 | 15-27℃ | 南风2级 | 相对湿度42%","大蒜","适宜收获晾晒，选择晴天上午收获，晾晒2-3天后编辫贮藏","2025-05"
"1009","成都","小雨 | 14-20℃ | 东北风2级 | 相对湿度89%","草莓","不建议采摘，雨水易导致果实腐烂；及时摘除病果烂叶，喷施保护性杀菌剂","2025-03"
"1010","广州","晴 | 24-32℃ | 南风2级 | 相对湿度72%","龙眼","适宜疏花疏果，减少养分消耗；追施壮花肥，提高坐果率","2025-04"
"1011","海口","雷阵雨 | 24-30℃ | 西南风2级 | 相对湿度85%","菠萝","不建议采收，雷雨天气易造成果实开裂；雨后及时排水，预防心腐病","2025-07"
"1012","哈尔滨","小雨 | 10-16℃ | 东风3级 | 相对湿度65%","甜菜","适宜苗期管理，可进行间苗定苗；雨后及时中耕松土，破除板结","2025-05"
"1013","郑州","多云 | 17-29℃ | 东北风2级 | 相对湿度55%","花生","适宜播种，土壤墒情适宜；播种时施足基肥，注意防治地下害虫","2025-05"
"1014","成都","晴 | 18-26℃ | 西南风2级 | 相对湿度70%","猕猴桃","适宜授粉作业，选择晴天上午进行；注意防治溃疡病和花腐病","2025-04"
"1015","广州","多云 | 23-31℃ | 东南风2级 | 相对湿度78%","芒果","适宜套袋作业，套袋前喷施一次杀虫杀菌剂；注意防治炭疽病和蒂腐病","2025-06"
"1016","海口","阴转多云 | 20-27℃ | 东风2级 | 相对湿度80%","甘蔗","适宜中耕培土，促进根系生长；追施分蘖肥，提高分蘖率","2025-05"
"1017","哈尔滨","晴 | 14-24℃ | 南风2级 | 相对湿度40%","向日葵","适宜播种，土壤温度适宜；播种深度2-3厘米，行距60-70厘米","2025-05"
"1018","郑州","大雨 | 19-25℃ | 东南风3级 | 相对湿度90%","棉花","严禁田间作业，重点做好排涝工作；雨后及时扶正倒伏棉苗，中耕松土","2025-07"
"1019","成都","多云转晴 | 15-23℃ | 北风2级 | 相对湿度68%","茶叶","适宜采摘，选择一芽二叶标准；采摘后及时加工，保证茶叶品质","2025-03"
"1020","广州","晴 | 26-35℃ | 西南风3级 | 相对湿度65%","香蕉","适宜灌溉施肥，高温时段避免作业；注意防治叶斑病和香蕉象甲","2025-08"
"1021","海口","晴转多云 | 21-29℃ | 东北风2级 | 相对湿度72%","辣椒","适宜定植，选择阴天或傍晚进行；定植后及时浇定根水，遮阴防晒","2025-03"
"1022","哈尔滨","多云 | 11-21℃ | 西北风3级 | 相对湿度50%","马铃薯","适宜播种，地温稳定在7℃以上；切块播种，每块带1-2个芽眼","2025-04"
"1023","郑州","晴 | 20-32℃ | 南风3级 | 相对湿度38%","玉米","适宜追肥浇水，大喇叭口期是需肥需水高峰期；注意防治玉米螟","2025-07"
"1024","成都","阴 | 17-25℃ | 东风1级 | 相对湿度83%","柑橘","适宜保花保果，喷施叶面肥和保果剂；注意防治红蜘蛛和花蕾蛆","2025-04"
"1025","广州","雷阵雨 | 24-31℃ | 南风2级 | 相对湿度88%","火龙果","不建议授粉，雨水会稀释花粉；雨后及时排水，预防茎腐病","2025-06"
"1026","海口","小雨 | 19-25℃ | 东北风3级 | 相对湿度86%","冬瓜","不建议授粉，雨水影响授粉效果；及时整枝打杈，改善通风透光条件","2025-04"
"1027","哈尔滨","晴 | 16-26℃ | 西南风2级 | 相对湿度43%","大豆","适宜中耕除草，苗期进行2-3次中耕；追施提苗肥，促进幼苗生长","2025-06"
"1028","郑州","多云转晴 | 16-28℃ | 东北风2级 | 相对湿度47%","小麦","适宜收割晾晒，选择晴天全天作业；收割后及时脱粒，防止发芽霉变","2025-06"
"1029","成都","中雨 | 15-21℃ | 北风2级 | 相对湿度91%","油菜","严禁收割作业，已收割油菜需做好防雨覆盖；及时清理田间积水","2025-05"
"1030","广州","晴 | 25-33℃ | 东南风2级 | 相对湿度69%","荔枝","适宜采摘，选择晴天上午进行；采摘后及时分级包装，低温贮藏","2025-06"
"1031","海口","晴 | 23-32℃ | 南风2级 | 相对湿度65%","西瓜","适宜授粉，选择上午8-10点进行；注意防治枯萎病和蚜虫","2025-05"
"1032","哈尔滨","阴转多云 | 9-17℃ | 西北风3级 | 相对湿度58%","小麦","适宜播种，土壤墒情良好；播种深度3-4厘米，播后镇压保墒","2025-09"
"1033","郑州","晴 | 18-30℃ | 南风2级 | 相对湿度45%","芝麻","适宜播种，土壤温度适宜；播种深度1-2厘米，播后轻耙覆土","2025-06"
"1034","成都","晴转多云 | 17-25℃ | 西南风2级 | 相对湿度75%","葡萄","适宜疏花疏果，控制产量；套袋前喷施一次杀虫杀菌剂","2025-05"
"1035","广州","多云转雷阵雨 | 22-30℃ | 西南风2级 | 相对湿度82%","龙眼","不建议采摘，雷雨天气存在安全隐患；雨后及时排水，预防霜霉病","2025-07"
"1036","海口","多云 | 20-28℃ | 东风2级 | 相对湿度76%","水稻","适宜插秧，秧龄30-35天；插秧深度2-3厘米，合理密植","2025-04"
"1037","哈尔滨","晴 | 18-28℃ | 南风2级 | 相对湿度39%","玉米","适宜追肥浇水，拔节期需肥需水量大；注意防治蚜虫和玉米螟","2025-07"
"1038","郑州","小雨 | 16-24℃ | 东风2级 | 相对湿度70%","棉花","适宜苗期管理，可进行间苗定苗；雨后及时中耕松土，提高地温","2025-04"
"1039","成都","多云 | 16-24℃ | 东北风2级 | 相对湿度77%","李子","适宜疏果，合理负载；追施壮果肥，促进果实膨大","2025-04"
"1040","广州","晴 | 27-36℃ | 西南风3级 | 相对湿度62%","木瓜","适宜田间管理，可进行施肥和灌溉；注意防治病毒病和红蜘蛛","2025-09"
"1041","海口","雷阵雨 | 23-29℃ | 东南风2级 | 相对湿度87%","黄瓜","不建议采摘，雨水易导致果实开裂；及时摘除病叶，喷施保护性杀菌剂","2025-06"
"1042","哈尔滨","多云转晴 | 13-23℃ | 西北风2级 | 相对湿度48%","甜菜","适宜中耕培土，促进块根生长；追施块根膨大肥，提高产量","2025-07"
"1043","郑州","晴 | 21-33℃ | 南风3级 | 相对湿度36%","花生","适宜中耕除草，花期进行培土迎针；追施花针肥，促进荚果发育","2025-07"
"1044","成都","小雨 | 13-19℃ | 北风2级 | 相对湿度88%","茶叶","不建议采摘，雨水影响茶叶品质；及时修剪病枝，清理茶园落叶","2025-02"
"1045","广州","多云 | 24-32℃ | 南风2级 | 相对湿度74%","芒果","适宜采收，选择晴天上午进行；采收后及时进行保鲜处理","2025-07"
"1046","海口","晴转多云 | 22-30℃ | 东北风2级 | 相对湿度70%","番茄","适宜定植，选择健壮秧苗；定植后及时搭架绑蔓，整枝打杈","2025-03"
"1047","哈尔滨","晴 | 15-25℃ | 西南风2级 | 相对湿度42%","向日葵","适宜中耕除草，苗期进行2次中耕；追施现蕾肥，促进花盘发育","2025-06"
"1048","郑州","大雨 | 18-26℃ | 东南风3级 | 相对湿度92%","大豆","严禁田间作业，重点做好排涝防渍工作；雨后及时补施速效肥","2025-07"
"1049","成都","晴 | 19-27℃ | 南风2级 | 相对湿度67%","猕猴桃","适宜疏果，疏除畸形果和小果；追施壮果肥，提高果实品质","2025-05"
"1050","广州","雷阵雨 | 23-30℃ | 东南风2级 | 相对湿度86%","火龙果","不建议采收，雷雨天气易造成果实损伤；雨后及时排水，预防根腐病","2025-07"
